meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.145081277,0.081467057,0.130244193,0.080881477,0.231137582,0.150256105,2.05894961,8.899677752,0.958601919,0.700000861,0.13157832,0.145081277,0.123951971,0.016718913,0.271186441,0.237723214,0.0234375,2.5625,2.5390625,0.117389277,male
0.142227705,0.081180854,0.132924962,0.074609495,0.220969883,0.146360388,1.52982061,5.947477049,0.968885342,0.755372707,0.1283512,0.142227705,0.120882635,0.038004751,0.258064516,0.280704942,0.015625,3.578125,3.5625,0.102856226,male
0.161510657,0.075799496,0.141584276,0.113234068,0.232304943,0.119070876,1.574437622,5.420399706,0.948011739,0.6349744,0.135247171,0.161510657,0.125204637,0.015888779,0.271186441,0.149445565,0.0078125,0.5390625,0.53125,0.147058824,male
0.155400584,0.078829326,0.142918404,0.107897558,0.233305539,0.125407981,1.471431229,5.231875597,0.961965468,0.718330029,0.114568195,0.155400584,0.117381316,0.021024967,0.242424242,0.505040323,0.015625,3.78125,3.765625,0.154426003,male
0.148852764,0.078437337,0.143418702,0.109565217,0.213793925,0.104228708,2.347402307,9.571507962,0.949089387,0.661917637,0.137415128,0.148852764,0.139225938,0.016260163,0.275862069,0.427671371,0,4.265625,4.265625,0.121062271,male
0.162659635,0.08074299,0.150589637,0.112400238,0.237307921,0.124907683,1.66077383,5.537117398,0.951061776,0.66424047,0.119571173,0.162659635,0.124306253,0.04519774,0.275862069,0.425260417,0,4.2265625,4.2265625,0.125693161,male
0.165504621,0.082040442,0.151923764,0.111733175,0.241977367,0.130244193,1.350792515,4.324075328,0.955406261,0.672834816,0.136247767,0.165504621,0.116643723,0.01992528,0.23880597,0.380859375,0.015625,2.8125,2.796875,0.119490999,male
0.165380787,0.066620192,0.14940499,0.115547025,0.228944338,0.113397313,1.411882875,5.234582155,0.944186462,0.63660898,0.117159309,0.165380787,0.128738927,0.047105005,0.275862069,0.143465909,0,0.4921875,0.4921875,0.188644689,male
0.168001742,0.061122705,0.170914826,0.11659306,0.218611987,0.102018927,1.278603795,4.771127967,0.94401631,0.614896641,0.102018927,0.168001742,0.122536628,0.048533873,0.272727273,1.01953125,0.5625,1.453125,0.890625,0.077915377,male
0.200759288,0.071869268,0.218951295,0.185235233,0.252203109,0.066967876,1.855719556,7.168239415,0.929493848,0.453682355,0.272049741,0.200759288,0.159484653,0.047105005,0.277456647,1.001953125,0,19.0546875,19.0546875,0.050678215,male
0.220854643,0.040990748,0.226325879,0.1914377,0.256741214,0.065303514,1.15205856,3.160254715,0.877923634,0.21607978,0.207539936,0.220854643,0.130747477,0.048582996,0.274285714,0.994959677,0,3.1640625,3.1640625,0.184900285,male
0.204231699,0.053701554,0.207391304,0.178695652,0.247826087,0.069130435,1.375587348,4.327260874,0.907628937,0.411757739,0.181304348,0.204231699,0.144398214,0.047012733,0.251308901,0.929496951,0.3984375,1.359375,0.9609375,0.113414634,male
